Seed,Starting Fate Die,Frequency,Fated Age,Base Body Resist,CLT AUG,CEL AUG,CON AUG,FOC AUG,FLO AUG,WIL AUG,WIS AUG,WIT AUG,Skills,Nectars,Thorns,DESCRIPTION,Attributes KV,Frequency KV,Body Resist KV,Fate Die KV,Nectar/Thorn KV,TOTAL SEED KV
Elemental-Kin,6,30,200,16,10,6,12,10,12,6,8,4,Elemental Affinity,Primal Connection,Environmental Dependency,Humanoids with elemental bloodlines granting natural magical affinity but environmental limitations.,68,30,32,10,10,150
Celestial,4,25,5000,17,5,8,8,12,12,18,15,7,None,Divine Favor,Mortal Compassion,Angelic beings operating in mortal realms with divine blessings but bound by celestial codes.,85,25,34,5,15,164
Abyssal-Spawn,6,45,300,18,12,10,12,6,6,8,4,6,Intimidation,Hellish Resilience,Chaotic Impulses,Demon-touched beings with infernal strength but unpredictable and destructive tendencies.,64,45,36,10,5,160
Psionic,8,25,120,12,3,6,3,15,8,12,12,15,Mental Powers,Psychic Sensitivity,Mental Overload,Telepathic beings with powerful mental abilities but vulnerability to psychic feedback.,74,25,24,20,20,163
Construct,6,40,999999,22,12,4,16,10,2,8,4,10,Technical Knowledge,Tireless Function,Emotional Void,Magical automatons with incredible durability and focus but limited emotional capacity.,66,40,44,10,0,160
Time-Lost,4,20,100,15,6,6,6,8,8,10,12,8,Temporal Lore,Chrono-Perception,Timeline Displacement,Beings unstuck in time with knowledge of multiple timelines but unreliable temporal anchoring.,64,20,30,5,30,149
Dream-Walker,6,30,150,10,4,8,4,12,14,8,14,8,Dream Lore,Lucid Dreaming,Reality Blur,Entities who exist partially in the dream realm with enhanced imagination but weakened physical form.,72,30,20,10,20,152
Plague-Bearer,6,50,60,17,8,6,14,5,5,10,6,5,Disease Resistance,Viral Adaptation,Carrier Status,Survivors of cosmic plagues with enhanced immune systems but perpetual infection risk.,59,50,34,10,5,158
Starborn,8,15,10000,20,4,4,8,14,10,10,14,12,Astral Navigation,Cosmic Awareness,Solar Dependency,Beings born in stellar nurseries with incredible cosmic attunement but dependence on stellar energy.,76,15,40,20,25,176
Machine-Hybrid,6,35,500,19,10,8,12,8,6,8,6,14,Technical Interface,Cybernetic Enhancement,System Vulnerability,Cyborgs integrating organic and mechanical components with enhanced capabilities but technical dependencies.,72,35,38,10,10,165
Quantum-Phased,8,20,200,14,6,12,6,12,8,8,10,12,Phase Shifting,Quantum Entanglement,Probability Cascade,Beings existing in quantum superposition with reality-bending abilities but unstable existence.,74,20,28,20,35,177
Soul-Forged,4,25,1000,21,8,6,14,6,12,14,10,6,None,Spirit Weapon,Soul Fragments,"Warriors whose souls have been reforged in spiritual fires, granting power but fragmenting identity.",76,25,42,5,20,168
Echo-Being,6,30,100,13,7,7,7,7,7,7,7,7,Mimicry,Perfect Balance,Identity Echo,Reflections of other beings given independent existence with balanced abilities but derivative nature.,56,30,26,10,15,137
Void-Singer,4,20,400,16,5,8,8,14,16,10,12,7,Void Songs,Reality Harmonics,Sanity Strain,Cosmic bards who sing the songs of creation and destruction but risk madness from cosmic truths.,80,20,32,5,25,162
Flame-Heart,6,40,80,18,12,8,12,8,10,12,6,6,Fire Immunity,Eternal Flame,Heat Dependency,Beings with hearts of elemental fire granting immunity and power but constant heat requirements.,74,40,36,10,10,170
Phase-Spider,8,35,60,15,6,14,8,10,8,6,8,12,Web-Spinning,Multi-Dimensional,Spatial Instability,Arachnid beings capable of moving between dimensional phases but suffering spatial disconnection.,72,35,30,20,15,172
Memory-Keeper,6,25,300,14,4,6,6,12,10,16,16,8,Perfect Recall,Ancestral Memories,Information Overload,Beings who retain perfect memories of their lineage but suffer from information cascade overload.,78,25,28,10,20,161
Storm-Child,4,35,80,12,8,12,6,12,14,8,10,6,Weather Sense,Lightning Affinity,Static Discharge,Humanoids born during cosmic storms with electrical affinity but uncontrolled energy discharge.,76,35,24,5,15,155
Rust-Born,6,45,150,19,10,6,16,6,4,8,4,12,Scrap Engineering,Decay Immunity,Corrosive Touch,Beings born in technological ruins with immunity to decay but corrosive effects on surroundings.,66,45,38,10,10,169
Moon-Blessed,4,25,200,13,6,10,6,14,16,12,14,6,Lunar Cycles,Night Vision,Lunar Dependency,Nocturnal beings blessed by lunar forces with enhanced night abilities but daylight vulnerability.,84,25,26,5,15,155
Blood-Bound,6,40,120,17,10,8,14,6,8,12,8,8,Blood Magic,Regeneration,Thirst Compulsion,Warriors bound by blood pacts granting regenerative abilities but compulsive bloodlust.,74,40,34,10,10,168
Thought-Form,8,20,999999,11,2,6,2,18,12,8,16,16,Mental Projection,Telepathic Network,Physical Weakness,Beings of pure thought given physical form with incredible mental abilities but fragile bodies.,80,20,22,20,30,172
Gravity-Walker,6,30,150,16,8,10,10,12,6,10,8,10,Zero-G Movement,Gravitational Sense,Density Fluctuation,Beings adapted to variable gravity with enhanced spatial awareness but unstable physical density.,74,30,32,10,15,161
Nano-Swarm,8,25,999999,12,6,8,6,14,10,6,10,16,Microscopic Control,Collective Consciousness,Cohesion Instability,Collections of nanoscopic entities forming humanoid appearance with technological mastery but unstable cohesion.,76,25,24,20,25,170
Echo-Phantom,4,20,50,12,5,12,5,10,12,10,12,8,Phase Walk,Spectral Form,Corporeal Weakness,Ghostly beings partially anchored to reality with phase abilities but vulnerable to physical disruption.,74,20,24,5,20,143
Prism-Born,6,30,200,17,6,8,8,12,12,8,10,10,Light Manipulation,Spectrum Vision,Chromatic Overload,Crystalline beings who manipulate light and color but suffer from sensory overload in complex environments.,74,30,34,10,15,163
Star-Scar,8,15,500,18,8,6,12,12,8,12,12,8,Cosmic Resilience,Stellar Navigation,Radiation Burn,Beings scarred by stellar radiation with cosmic attunement but perpetual radiation damage.,78,15,36,20,30,179
Hive-Mind,6,35,100,15,8,8,8,10,8,8,8,12,Collective Thinking,Shared Consciousness,Individual Suppression,Members of collective consciousness with shared knowledge but suppressed individual identity.,70,35,30,10,15,160
Warp-Touched,4,25,80,14,7,9,7,11,11,9,9,11,Reality Sense,Dimensional Shift,Chaos Mutation,Beings touched by chaotic warp energies with reality manipulation but unpredictable mutations.,74,25,28,5,25,157
Soul-Echo,6,20,300,16,6,6,10,8,14,12,14,8,Spirit Communication,Ancestral Guidance,Past Trauma,Beings who carry echoes of previous souls with ancestral wisdom but inherited psychological damage.,78,20,32,10,20,160
